Title_translated,Funding_Amount_in_EUR,Start_Date,Start_Year,End_Date,End_Year,Research_Organization_original,Research_Organization_standardized,Country_of_Research_organization,Funder,Funder_Group,Funder_Country,Fields_of_Research_ANZSRC_2020,RCDC_Categories,HRCS_HC_Categories,HRCS_RAC_Categories,Cancer_Types,CSO_Categories,Units_of_Assessment,Sustainable_Development_Goals,topic
S2N - Soil to Nutrition - Work package 2 (WP2) - Adaptive management systems for improved efficiency and nutritional quality,6418247.0,2017-03-31,2017.0,2020-03-30,2020.0,"National Research Institute for Agriculture, Food and Environment; Stabiliser Cattle Company; International Livestock Research Institute (ILRI); Agriculture and Horticulture Development Board; University of Cape Coast; Swansea University; John Lewis Partnership (United Kingdom); World Wide Fund for Nature; Silage Soutions Ltd; Harper Adams University; The University of Sydney; University of Giessen; Agri Food and Biosciences Institute; AgResearch; Department for Environment, Food and Rural Affairs; Morrisons (United Kingdom); Massey University; Breedr; Aberystwyth University; University of Wisconsin–Madison; Zhejiang University; Scotland's Rural College; Centre for Innovation Excellence in Livestock; AfricaRice; Queen's University Belfast; McDonald's; Soil Association; University of Western Australia; Newcastle University; Pennsylvania State University; University of Alberta; Austral University of Chile; Brazilian Agricultural Research Corporation; University of Nottingham; Tesco (United Kingdom); Sainsbury's (United Kingdom); Velcourt (United Kingdom); Universidad Ort Uruguay; University of Naples Federico II; Commonwealth Scientific and Industrial Research Organisation; University of Leeds; Tredudwell estates; Instituto Nacional de Investigación Agropecuaria; Kerala Veterinary and Animal Sciences University; University of Edinburgh; Rothamsted Research; University of Bristol; Duchy College; Denis Brinicombe Group; BASF (Germany); Xinjiang Agricultural University; The Donkey Sanctuary; Dexter Cattle Society","Rothamsted Research; National Research Institute for Agriculture, Food and Environment; Agriculture and Horticulture Development Board; University of Cape Coast; Swansea University; John Lewis Partnership (United Kingdom); World Wide Fund for Nature; Harper Adams University; The University of Sydney; University of Giessen; Agri Food and Biosciences Institute; AgResearch; Department for Environment, Food and Rural Affairs; Morrisons (United Kingdom); Massey University; Aberystwyth University; University of Wisconsin–Madison; Zhejiang University; Scotland's Rural College; Centre for Innovation Excellence in Livestock; AfricaRice; Queen's University Belfast; Soil Association; University of Western Australia; Newcastle University; Pennsylvania State University; University of Alberta; Austral University of Chile; Brazilian Agricultural Research Corporation; University of Nottingham; Tesco (United Kingdom); Sainsbury's (United Kingdom); Velcourt (United Kingdom); Universidad Ort Uruguay; University of Naples Federico II; Commonwealth Scientific and Industrial Research Organisation; University of Leeds; Instituto Nacional de Investigación Agropecuaria; Kerala Veterinary and Animal Sciences University; University of Edinburgh; University of Bristol; Duchy College; BASF (Germany); Xinjiang Agricultural University",United Kingdom; France; United Kingdom; Ghana; United Kingdom; United Kingdom; United Kingdom; United Kingdom; Australia; Germany; United Kingdom; New Zealand; United Kingdom; United Kingdom; New Zealand; United Kingdom; United States; China; United Kingdom; United Kingdom; Ivory Coast; United Kingdom; United Kingdom; Australia; United Kingdom; United States; Canada; Chile; Brazil; United Kingdom; United Kingdom; United Kingdom; United Kingdom; Uruguay; Italy; Australia; United Kingdom; Uruguay; India; United Kingdom; United Kingdom; United Kingdom; Germany; China,Biotechnology and Biological Sciences Research Council,cOAlition S; ICRP - International Cancer Research Partnership; UKRI - UK Research and Innovation,United Kingdom,"30 Agricultural, Veterinary and Food Sciences; 3002 Agriculture, Land and Farm Management; 3004 Crop and Pasture Production; 41 Environmental Sciences",,Generic health relevance,,,,"A06 Agriculture, Veterinary and Food Science",2 Zero Hunger,adaptive soil nutri
Novel Hybrid Heat Pipe for space and ground applications,824584.0,2017-03-31,2017.0,2020-03-30,2020.0,"Sonaca; REGEMAT 3D; Wrocław University of Science and Technology; Cambridge Raman Imaging; Paul Sabatier University; Université Libre de Bruxelles; Atomic Energy and Alternative Energies Commission; AEROSPAZIO Tecnologie s.r.l.; University of Manchester; University of Naples Federico II; University of Liverpool; Euro Heat Pipes; EPSILON, France; University of Cambridge; Queen Mary University of London; Kayser Space; Optrace; OPTEC, Belgium; Ricardo (United Kingdom); Airbus Group; University of Bremen; York University; University of Brighton; Aix-Marseille University; Nagoya Institute of Technology; Technological University Dublin; Harvard University; Solar Tomorrow Inc.; MBS; University of Pisa; Nanjing University of Aeronautics and Astronautics; University of Poitiers; Hephaestus; Liebherr; FlexEnable (United Kingdom); University of Mons; University of Florence; Spanish National Research Council; Fraunhofer Society; Footfalls and Heartbeats; Aristotle University of Thessaloniki; Hexxcell; Grenoble Alpes University; MyBiotech; University of Toronto; University of Padua; GSNET Italia; EURAPO; Optosmart Srl; Politecnico di Milano; University of Parma; European Thermodynamics (United Kingdom); Sustainable Energy Systems (United Kingdom); Libertine FPE (United Kingdom); Kayser Space Ltd",University of Brighton; Wrocław University of Science and Technology; Paul Sabatier University; Université Libre de Bruxelles; Atomic Energy and Alternative Energies Commission; University of Manchester; University of Naples Federico II; University of Liverpool; University of Cambridge; Queen Mary University of London; Ricardo (United Kingdom); University of Bremen; York University; Aix-Marseille University; Nagoya Institute of Technology; Technological University Dublin; Harvard University; University of Pisa; Nanjing University of Aeronautics and Astronautics; University of Poitiers; FlexEnable (United Kingdom); University of Mons; University of Florence; Spanish National Research Council; Fraunhofer Society; Aristotle University of Thessaloniki; Grenoble Alpes University; University of Toronto; University of Padua; Politecnico di Milano; University of Parma; European Thermodynamics (United Kingdom); Sustainable Energy Systems (United Kingdom); Libertine FPE (United Kingdom),United Kingdom; Poland; France; Belgium; France; United Kingdom; Italy; United Kingdom; United Kingdom; United Kingdom; United Kingdom; Germany; Canada; France; Japan; Ireland; United States; Italy; China; France; United Kingdom; Belgium; Italy; Spain; Germany; Greece; France; Canada; Italy; Italy; Italy; United Kingdom; United Kingdom; United Kingdom,Engineering and Physical Sciences Research Council,cOAlition S; UKRI - UK Research and Innovation,United Kingdom,40 Engineering; 4012 Fluid Mechanics and Thermal Engineering,,,,,,B12 Engineering,,hybrid heat pipe
Modelling sperm-mucus interactions across scales,793031.0,2017-03-31,2017.0,2021-12-31,2021.0,"Imperial College London; Paris Dauphine University; National Research Institute for Agriculture, Food and Environment; Arizona State University; University of Strasbourg; Federal University of Toulouse Midi-Pyrénées; French National Centre for Scientific Research; University of Naples Federico II; Institute of Fluid Mechanics of Toulouse; University of Vienna; New York University; University of Cambridge; University of Orléans","Imperial College London; Paris Dauphine University; National Research Institute for Agriculture, Food and Environment; Arizona State University; University of Strasbourg; Federal University of Toulouse Midi-Pyrénées; French National Centre for Scientific Research; University of Naples Federico II; Institute of Fluid Mechanics of Toulouse; University of Vienna; New York University; University of Cambridge; University of Orléans",United Kingdom; France; France; United States; France; France; France; Italy; France; Austria; United States; United Kingdom; France,Engineering and Physical Sciences Research Council,cOAlition S; UKRI - UK Research and Innovation,United Kingdom,31 Biological Sciences; 3101 Biochemistry and Cell Biology; 32 Biomedical and Clinical Sciences; 3215 Reproductive Medicine,Bioengineering; Contraception/Reproduction,Generic health relevance; Reproductive health and childbirth,1.1 Normal biological development and functioning,,,A05 Biological Sciences,,sperm-mucus model
Teaching Emerging Methods in Palaeoproteomics for the European Research Area,2186975.0,2017-03-01,2017.0,2021-02-28,2021.0,University of Chinese Academy of Sciences; University of Naples Federico II; Ny Carlsberg Glyptotek; University of Copenhagen; University of York; DEVRO PLC; University of Bordeaux; Thermo Fisher Scientific (Germany); Fera Science (United Kingdom); University of Lille; Max Planck Society,University of Copenhagen; University of Chinese Academy of Sciences; University of Naples Federico II; Ny Carlsberg Glyptotek; University of York; University of Bordeaux; Thermo Fisher Scientific (Germany); Fera Science (United Kingdom); University of Lille; Max Planck Society,Denmark; China; Italy; Denmark; United Kingdom; France; Germany; United Kingdom; France; Germany,European Commission,cOAlition S; EC & ERC - European Union,Belgium,"43 History, Heritage and Archaeology; 4302 Heritage, Archive and Museum Studies",,,,,,C15 Archaeology,,palaeoproteomics
The universal X-shredder: Enabling genetic control by sex ratio distortion in agricultural pests and disease vectors,565818.0,2017-02-13,2017.0,2020-08-11,2020.0,Imperial College London; University of Naples Federico II; University of Perugia; International Atomic Energy Agency; University of Thessaly,Imperial College London; University of Naples Federico II; University of Perugia; International Atomic Energy Agency; University of Thessaly,United Kingdom; Italy; Italy; Austria; Greece,Biotechnology and Biological Sciences Research Council,cOAlition S; ICRP - International Cancer Research Partnership; UKRI - UK Research and Innovation,United Kingdom,31 Biological Sciences; 3109 Zoology,Biotechnology; Contraception/Reproduction; Genetics; Human Genome; Infectious Diseases; Vector-Borne Diseases,Infection,3.2 Interventions to alter physical and biological environmental risks,,,A05 Biological Sciences,,sex-ratio control in pest
"Bridging Communities Through Literature: Lived Experience, Pedagogical Practice, and Cultural Exchange",,2017-02-01,2017.0,2017-07-01,2017.0,Colorado School of Mines; University of Naples Federico II,University of Naples Federico II; Colorado School of Mines,Italy; United States,Council for International Exchange of Scholars,,United States,,,,,,,,,cultural exchange
Charcot-Marie-Tooth type 2B: Role of the Rab7 GTPase and of Rab7 interacting proteins,400000.0,2017-02-01,2017.0,2021-01-31,2021.0,University of Salento; IRCCS Ospedale San Raffaele; University of Naples Federico II,University of Salento; IRCCS Ospedale San Raffaele; University of Naples Federico II,Italy; Italy; Italy,Telethon Foundation,,Italy,31 Biological Sciences; 3101 Biochemistry and Cell Biology,Biotechnology; Charcot-Marie-Tooth Disease; Neurodegenerative; Neurosciences; Peripheral Neuropathy; Rare Diseases; Regenerative Medicine,,2.1 Biological and endogenous factors,,,A05 Biological Sciences,,rab7 in cmt2b
DEVILS (Development of Vhbr engines Innovative Lubrication System),2898250.0,2017-02-01,2017.0,2021-05-31,2021.0,EURO.SOFT SRL; A.ABETE SRL; University of Naples Federico II; PROTOM GROUP SPA; National Research Council; TAT TECHNOLOGIES LTD,University of Naples Federico II; National Research Council,Italy; Italy,European Commission,cOAlition S; EC & ERC - European Union,Belgium,40 Engineering; 4001 Aerospace Engineering; 4017 Mechanical Engineering,,,,,,B12 Engineering,7 Affordable and Clean Energy,vhbr engine lubrication
INdAM Doctoral Programme in Mathematics and/or applications cofunded by Marie Sklodowska-Curie actions,1569600.0,2017-02-01,2017.0,2022-01-31,2022.0,University of Rome Tor Vergata; University of Catania; University of Udine; University of Florence; University of Naples Federico II; University of Turin; Istituto Nazionale di Alta Matematica Francesco Severi; Roma Tre University; University of Pisa; Scuola Normale Superiore di Pisa; University of L'Aquila; University of Pavia; University of Insubria; Politecnico di Milano; University of Trento; University of Milan; University of Bologna; University of Genoa; University of Bari Aldo Moro; University of Calabria; University of Ferrara,Istituto Nazionale di Alta Matematica Francesco Severi; University of Rome Tor Vergata; University of Catania; University of Udine; University of Florence; University of Naples Federico II; University of Turin; Roma Tre University; University of Pisa; Scuola Normale Superiore di Pisa; University of L'Aquila; University of Pavia; University of Insubria; Politecnico di Milano; University of Trento; University of Milan; University of Bologna; University of Genoa; University of Bari Aldo Moro; University of Calabria; University of Ferrara,Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy; Italy,European Commission,cOAlition S; EC & ERC - European Union,Belgium,39 Education; 3903 Education Systems,,,,,,C23 Education,,mathematical modelling
5-Lipoxygenase as immunoregulatory target of human endogenous vitamin E metabolites,,2017-01-01,2017.0,2019-12-31,2019.0,Universität Innsbruck; Louisiana State University; University of Angers; University of Naples Federico II,Universität Innsbruck; Louisiana State University; University of Angers; University of Naples Federico II,Austria; United States; France; Italy,Deutsche Forschungsgemeinschaft,,Germany,32 Biomedical and Clinical Sciences; 3205 Medical Biochemistry and Metabolomics,Complementary and Integrative Health; Nutrition; Prevention,,1.1 Normal biological development and functioning,,,"A03 Allied Health Professions, Dentistry, Nursing and Pharmacy",,vitamin e and 5-lox
